id,geo_id,vaccine_id,FirstDose,SecondDose,NumberDosesReceived,week_start
137,6,4,14165,0,63600,2021-01-08
138,7,3,53421,738,67860,2021-01-08
139,7,4,1104,0,2160,2021-01-08
140,9,3,297,67,9750,2021-01-08
141,9,4,0,0,1200,2021-01-08
142,10,3,36554,4,83850,2021-01-08
143,10,4,0,0,8400,2021-01-08
144,11,3,494960,2024,306150,2021-01-08
145,11,4,7210,0,35700,2021-01-08
146,13,1,0,0,NULL,2021-01-08
147,13,3,39764,1,45825,2021-01-08
148,13,4,0,0,4800,2021-01-08
149,13,6,0,0,NULL,2021-01-08
150,14,1,0,0,0,2021-01-08
151,14,3,334782,607,524550,2021-01-08
152,14,4,545,0,51600,2021-01-08
153,14,6,0,0,NULL,2021-01-08
154,15,3,15660,22,17550,2021-01-08
155,15,4,1256,0,3600,2021-01-08
156,15,6,271,0,NULL,2021-01-08
157,16,3,47975,698,94770,2021-01-08
158,16,4,3084,0,7200,2021-01-08
159,17,3,46595,6,58500,2021-01-08
160,17,4,1907,0,3600,2021-01-08
161,18,4,1261,0,1200,2021-01-08
162,19,3,529142,3017,510900,2021-01-08
163,19,4,2300,0,46800,2021-01-08
164,20,3,25694,1088,26782,2021-01-08
165,20,4,1021,0,1021,2021-01-08
166,21,3,2053,0,4875,2021-01-08
167,21,4,0,0,1200,2021-01-08
168,22,3,8035,0,8190,2021-01-08
169,22,4,942,0,1200,2021-01-08
170,23,3,6755,53,NULL,2021-01-08
171,24,1,0,0,0,2021-01-08
172,24,3,43735,0,184860,2021-01-08
173,24,4,0,0,13200,2021-01-08
174,24,6,0,0,0,2021-01-08
175,25,6,27857,5,56250,2021-01-08
176,26,1,0,0,0,2021-01-08
177,26,3,272819,675,354510,2021-01-08
178,26,4,1,0,28800,2021-01-08
179,27,3,47940,1162,79950,2021-01-08
180,27,4,1458,0,8400,2021-01-08
181,29,3,73965,26,89700,2021-01-08
182,29,4,85,0,10800,2021-01-08
183,30,3,18651,135,19890,2021-01-08
184,30,6,1,0,NULL,2021-01-08
185,31,1,0,0,0,2021-01-08
186,31,3,38097,0,42900,2021-01-08
187,31,4,0,0,4800,2021-01-08
188,0,1,0,0,0,2021-01-15
189,0,3,90480,4343,58500,2021-01-15
190,0,4,203,0,7200,2021-01-15
191,1,3,115828,752,86580,2021-01-15
192,1,4,4374,0,0,2021-01-15
193,2,3,2831,4507,18720,2021-01-15
194,2,4,352,0,0,2021-01-15
195,4,3,4700,2458,2430,2021-01-15
196,4,4,210,0,0,2021-01-15
197,5,3,70302,11610,94770,2021-01-15
198,5,4,3833,0,0,2021-01-15
199,6,3,429797,233129,842400,2021-01-15
200,6,4,7921,0,0,2021-01-15
201,7,3,9982,28277,32760,2021-01-15
202,7,4,1586,1,0,2021-01-15
203,9,3,2598,2342,8190,2021-01-15
204,9,4,6,0,0,2021-01-15
205,10,3,77532,3140,49140,2021-01-15
206,11,3,232383,87199,205725,2021-01-15
207,11,4,18240,0,NULL,2021-01-15
208,13,1,0,0,NULL,2021-01-15
209,13,3,50504,4843,43290,2021-01-15
210,13,4,913,0,NULL,2021-01-15
211,13,6,0,0,NULL,2021-01-15
212,14,1,0,0,0,2021-01-15
213,14,3,637994,550,379080,2021-01-15
214,14,4,23574,0,0,2021-01-15
215,14,6,0,0,NULL,2021-01-15
216,15,3,12111,8727,21060,2021-01-15
217,15,4,1007,0,NULL,2021-01-15
218,15,6,229,257,NULL,2021-01-15
219,16,3,21942,10766,71370,2021-01-15
220,16,4,88,9,0,2021-01-15
221,17,3,44320,3774,24570,2021-01-15
222,17,4,7,0,0,2021-01-15
223,18,3,4296,4796,3510,2021-01-15
224,19,1,0,0,0,2021-01-15
225,19,3,117412,107203,397800,2021-01-15
226,19,4,12903,0,0,2021-01-15
227,20,3,6602,7933,14535,2021-01-15
228,20,4,1326,0,1326,2021-01-15
229,21,3,2340,1244,4875,2021-01-15
230,21,4,371,0,0,2021-01-15
231,22,3,719,2156,0,2021-01-15
232,22,4,235,0,0,2021-01-15
233,23,3,7729,1009,NULL,2021-01-15
234,24,1,0,0,0,2021-01-15
235,24,3,86562,0,92430,2021-01-15
236,24,4,0,0,0,2021-01-15
237,24,6,0,0,0,2021-01-15
238,25,6,26823,1898,43290,2021-01-15
239,26,1,0,0,0,2021-01-15
